stem,iou,f1,precision,recall,chamfer_distance,modified_hausdorff,precision_at_0.1m,recall_at_0.1m,f1_at_0.1m
120_237_469,0.007360672975776233,0.014613774114501467,0.020467836257010704,0.011363636363544127,0.34042947527936396,0.3077762528243838,0.16113161131611317,0.22575516693163752,0.18804619292059452
120_237_46,0.0011273957158899246,0.0022522513408323327,0.023529411761937718,0.0011827321111698244,0.6628209692558118,0.6984222663572416,0.12844036697247707,0.16743755781683625,0.14536901094894727
120_237_470,0.00640341515471503,0.01272534022038413,0.01926163723885615,0.009501187648380831,0.29511518986452573,0.2673917904140905,0.22771084337349398,0.33176100628930816,0.27006033363718873
120_237_471,0.011910926980777262,0.023541448968371632,0.03506097560922163,0.017719568566889683,0.2602324387132925,0.21555212410602465,0.2886823400765446,0.3643292682926829,0.3221242096480997
120_237_472,0.012539184952912544,0.02476779728079845,0.034934497816085375,0.019184652278024104,0.2406813708710107,0.2113502935420737,0.3154540626659586,0.4009216589861751,0.353089476792547
120_237_473,0.013199577613446676,0.026055232493920128,0.03617945007183532,0.0203583061887593,0.24069080656569686,0.1891116398231363,0.31076581576026635,0.4054878048780488,0.3518634826366371
120_237_474,0.015287295730019572,0.030114221699227253,0.04038997214428426,0.024006622516357563,0.28877926353671035,0.23935010305443108,0.2309433962264151,0.2957074721780604,0.2593432982442704
120_237_475,0.014690982776014737,0.028956560403230185,0.03732303732255698,0.023654159869301354,0.2996477511167578,0.25362035225048984,0.2146558105107328,0.2731554160125589,0.24039789504427536
120_237_476,0.006707946336394696,0.013326494498211407,0.017333333333102222,0.010824313072349507,0.281360252810324,0.21176470588235297,0.25196850393700787,0.2696629213483146,0.2605155988049392
120_237_477,0.00629921259839213,0.012519557014790588,0.015645371577370986,0.010434782608604917,0.26400085368716997,0.2113502935420737,0.25103448275862067,0.32387312186978295,0.28283960608367226
120_237_478,0.00817438692093638,0.016216211517161332,0.02148997134639699,0.013020833333220306,0.26874201650545404,0.2113502935420737,0.2785493827160494,0.3011093502377179,0.2893903513344806
120_237_479,0.010526315789418284,0.020833328565588113,0.02656042496644674,0.017137960582543806,0.27484118199341884,0.21555212410602292,0.24919354838709679,0.2953451043338684,0.27031356847999394
120_237_47,0.0005813953488338292,0.0011621143332816674,0.015624999997558595,0.0006035003017465088,0.6485611040479375,0.6825919293398854,0.15695993391160679,0.19382835101253615,0.17345667233111273
120_237_480,0.013269639065746977,0.026191718640171592,0.033244680850621745,0.021607605877082044,0.28934748392748755,0.25362035225048807,0.23011844331641285,0.2834138486312399,0.25400058930658076
120_237_481,0.015889830508390414,0.03128258118762451,0.03811944091438222,0.026525198938757516,0.32241230610671767,0.227692848121128,0.2647814910025707,0.2903752039151713,0.27698838458314873
120_237_482,0.015519917227027833,0.03056545623117924,0.0382653061219609,0.02544529262064932,0.31971163794977536,0.25362035225048984,0.26968973747016706,0.3047619047619048,0.286155180394335
120_237_483,0.01719777440557816,0.03381401810780705,0.04314720812127986,0.027800490596665575,0.3374787895709592,0.28366745973470386,0.2712842712842713,0.2931297709923664,0.28178425393424955
120_237_484,0.011211959423325084,0.022175285667729583,0.029005524861477824,0.017948717948564542,0.3612910713034707,0.2990469064845318,0.24017467248908297,0.2735703245749614,0.25578706246903765
120_237_485,0.01372031662261889,0.027069230048867552,0.03537414965938267,0.021922428330337924,0.3581680596509642,0.3264288451836024,0.25,0.29172932330827067,0.26925745512682275
120_237_486,0.013756613756540971,0.02713987000484412,0.03527815468066108,0.02205258693789608,0.34543579440154437,0.29918762881803806,0.2691538974017322,0.32075471698113206,0.29269747420891934
120_237_487,0.01316482359129455,0.025987521227795313,0.03328894806879775,0.021312872975095373,0.3770477565332807,0.2958904109589042,0.2811361981063365,0.32769230769230767,0.30263421355177045
120_237_488,0.011170212765898031,0.02209363014027716,0.027814569536055437,0.018324607329683034,0.38604143957691117,0.28994573304504645,0.2593423019431988,0.3082942097026604,0.2817074905195379
120_237_489,0.007042253521088612,0.013986009244741224,0.018105849581920533,0.011393514460899269,0.3844001649427343,0.3023482180505773,0.23473541383989144,0.30407523510971785,0.26494363081491024
120_237_48,0.0017351069982548578,0.0034642022479588266,0.03333333332962963,0.0018270401948731606,0.6562512527394931,0.6829001155257125,0.15683168316831683,0.20892687559354226,0.17916930104659576
120_237_490,0.011608623548857886,0.022950815027436816,0.03129657227971242,0.018119068162052467,0.3879833617327624,0.2958904109589042,0.22972972972972974,0.2543171114599686,0.24139895193098843
120_237_491,0.003921568627429011,0.007812495386062544,0.010819165378503567,0.006113537117850537,0.4163529264892637,0.34080239857125283,0.18630678077682686,0.23076923076923078,0.20616803779601717
120_237_492,0.003875968992226601,0.0077220030480145375,0.010370370370216734,0.006151142354954736,0.4419433513482569,0.36177645701725897,0.14285714285714285,0.16510903426791276,0.1531791857775487
120_237_493,0.0050962627406279945,0.010140840413456613,0.013740458015057397,0.008035714285642538,0.4675667157739475,0.39899472916701667,0.087893864013267,0.16057233704292528,0.11360356079283174
120_237_494,0.003939223410219813,0.007847529124871879,0.011437908496545132,0.005972696245682827,0.49588201851160296,0.39933736447190327,0.0922930542340628,0.12762762762762764,0.10712173973888177
120_237_495,0.004898958971188617,0.00975014827936495,0.017167381973880527,0.006808510638239928,0.5416436487432619,0.5077379993093134,0.07602956705385427,0.09662576687116564,0.08509919304498043
120_237_496,0.0048048048047759475,0.009563653727295545,0.014814814814540465,0.00706090026472144,0.6031533739590799,0.6012430483413985,0.06706408345752608,0.06363636363636363,0.0653052712551238
120_237_497,0.0033500837520750973,0.0066777917220131175,0.009287925696450651,0.005212858383968612,0.5578882325080433,0.5897595708630868,0.06373937677053824,0.06557377049180328,0.06464355757956644
120_237_498,0.003812636165556576,0.007596305712580155,0.01032448377565893,0.006008583690935549,0.4110500487057824,0.40876712017227346,0.10532150776053215,0.10979228486646884,0.10751043253752525
120_237_499,0.006057268722433605,0.012041593597816489,0.016369047618804033,0.009523809523727068,0.37976509637902445,0.3381604696673186,0.15300546448087432,0.13793103448275862,0.14507771522067722
120_237_49,0.0005611672278307455,0.0011217036973940483,0.008064516128381894,0.0006027727546678556,0.5986233219709298,0.6455721981049183,0.17290108063175394,0.22065727699530516,0.19388169471168112
120_237_500,0.00951248513668542,0.01884569621062653,0.026101141924533423,0.014746543778665931,0.46218059663526423,0.34080239857125283,0.13284132841328414,0.1552,0.14315288411943353
120_237_501,0.009626955475273003,0.019070317197072948,0.026402640263590717,0.01492537313418913,0.37387008594064675,0.3381604696673186,0.14527027027027026,0.17341977309562398,0.15810181109660154
120_237_502,0.008610086100808056,0.017073166245844425,0.025134649909782144,0.012927054478181654,0.36240394890553107,0.2958904109589042,0.17296389588581024,0.1921182266009852,0.18203858248133342
120_237_503,0.009803921568567379,0.01941747118449801,0.027826086956037808,0.014911463187186287,0.3039839274577699,0.24683012665871062,0.2301523656776263,0.23393739703459637,0.23202944134416373
120_237_504,0.010173548773128824,0.020142175644851167,0.030141843971096774,0.01512455516000779,0.2688298282506286,0.18911163982313725,0.28951890034364264,0.29121725731895226,0.29036559041750637
120_237_505,0.021590909090786415,0.04226918338217895,0.05882352941085412,0.03298611111082478,0.274116924562552,0.18922283828863123,0.31803542673107893,0.2656716417910448,0.28950477757195403
120_237_506,0.019920318724986227,0.03906249535531858,0.05327245053191366,0.030837004405014655,0.29435108482068534,0.21135029354207457,0.31381733021077285,0.29906542056074764,0.3062638333001613
120_237_507,0.024193548386957413,0.04724408984301362,0.06441717791312243,0.03730017761956217,0.2918354968386881,0.20034216514809966,0.2933914306463326,0.28056426332288403,0.2868345066885168
120_237_508,0.024477611940152372,0.04778554325836406,0.06902356902240701,0.03654188948274027,0.27282821033284765,0.2113502935420737,0.3052407932011331,0.29566563467492263,0.3003769211376125
120_237_509,0.025104602510310194,0.048979587375002326,0.07291666666540075,0.03687445127272279,0.29484555447412863,0.21135029354207502,0.30016863406408095,0.30513595166163143,0.30263190618701136
120_237_50,0.0,0.0,0.0,0.0,0.5970800223784043,0.6250588293446623,0.1721881390593047,0.20683287165281625,0.18792713501365713
120_237_510,0.030112923462797286,0.05846528186806919,0.0907372400738991,0.04312668463573112,0.2861444722814601,0.21149957552695833,0.2615675165250236,0.28837209302325584,0.27431655958584444
120_237_511,0.023728813559161163,0.04635761188369843,0.08353221956841211,0.032080659944710536,0.29114182298241803,0.2576092708151739,0.25949367088607594,0.23500810372771475,0.24664467317103272
120_237_512,0.013986013985916182,0.027586203212547462,0.056657223794428974,0.018231540565011566,0.3393437589599795,0.29918762881803906,0.28756476683937826,0.22580645161290322,0.2529708562151241
